pulseheight,counts_ch_A,counts_ch_B
4.429096989966555,0,0
5.687290969899665,0,0
6.945484949832776,0,0
8.203678929765886,0,0
9.461872909698997,3,0
10.720066889632108,856,0
11.978260869565219,1005,0
13.236454849498328,919,0
14.494648829431439,1007,0
15.752842809364548,1058,0
17.01103678929766,1056,0
18.26923076923077,1088,0
19.52742474916388,1113,0
20.78561872909699,1085,0
22.0438127090301,1126,0
23.30200668896321,1178,0
24.56020066889632,1303,0
25.818394648829432,1247,0
27.076588628762543,1247,0
28.33478260869565,1297,0
29.592976588628762,1357,0
30.851170568561873,1440,0
32.10936454849498,1379,0
33.36755852842809,1404,0
34.6257525083612,1353,0
35.88394648829431,1291,0
37.142140468227424,1195,0
38.40033444816053,1205,0
39.65852842809364,1120,0
40.91672240802675,1037,0
42.17491638795986,1008,0
43.43311036789297,959,0
44.69130434782608,932,0
45.949498327759194,906,0
47.207692307692305,855,0
48.465886287625416,861,0
49.72408026755853,882,0
50.98227424749163,787,0
52.24046822742474,789,0
53.49866220735785,796,0
54.756856187290964,773,0
56.015050167224075,769,0
57.273244147157186,739,0
58.5314381270903,751,0
59.78963210702341,695,0
61.04782608695652,686,0
62.30602006688963,690,0
63.56421404682274,649,0
64.82240802675585,597,0
66.08060200668896,676,0
67.33879598662207,581,0
68.59698996655518,528,0
69.8551839464883,568,0
71.1133779264214,519,0
72.3715719063545,525,0
73.62976588628761,548,0
74.88795986622073,647,0
76.14615384615384,746,0
77.40434782608695,864,0
78.66254180602006,835,0
79.92073578595317,767,0
81.17892976588628,730,0
82.43712374581939,750,0
83.6953177257525,703,0
84.95351170568561,675,0
86.21170568561872,657,0
87.46989966555184,662,0
88.72809364548495,689,0
89.98628762541806,710,0
91.24448160535117,679,0
92.50267558528428,648,0
93.76086956521739,654,0
95.0190635451505,739,0
96.27725752508361,696,0
97.53545150501671,738,0
98.79364548494982,751,0
100.05183946488293,714,0
101.31003344481604,723,0
102.56822742474915,817,0
103.82642140468226,839,0
105.08461538461538,850,0
106.34280936454849,923,0
107.6010033444816,1080,0
108.85919732441471,1091,0
110.11739130434782,1104,0
111.37558528428093,1196,0
112.63377926421404,1316,0
113.89197324414715,1287,0
115.15016722408026,1270,0
116.40836120401337,1115,0
117.66655518394649,1030,0
118.9247491638796,828,0
120.18294314381271,587,0
121.44113712374582,371,0
122.69933110367893,218,0
123.95752508361204,144,0
125.21571906354515,88,0
126.47391304347825,35,0
127.73210702341136,19,0
128.99030100334448,10,0
130.24849498327757,9,0
131.5066889632107,5,0
132.76488294314385,4,0
134.02307692307693,3,0
135.28127090301007,4,0
136.53946488294315,2,0
137.79765886287626,4,0
139.05585284280937,6,0
140.31404682274245,1,0
141.5722408026756,5,0
142.83043478260868,0,0
144.08862876254182,5,0
145.3468227424749,3,0
146.60501672240804,2,0
147.86321070234112,3,0
149.12140468227426,3,0
150.37959866220734,2,0
151.63779264214048,1,0
152.89598662207356,4,0
154.1541806020067,5,0
155.4123745819398,2,0
156.67056856187293,4,0
157.928762541806,0,0
159.18695652173915,1,0
160.44515050167223,5,0
161.70334448160537,1,0
162.96153846153845,1,0
164.2197324414716,2,0
165.47792642140467,2,0
166.7361204013378,0,0
167.9943143812709,5,0
169.25250836120404,4,0
170.51070234113712,4,0
171.76889632107026,3,0
173.02709030100334,2,0
174.28528428093648,0,0
175.54347826086956,2,0
176.8016722408027,1,0
178.05986622073578,1,0
179.31806020066892,2,0
180.576254180602,0,0
181.83444816053515,0,0
183.09264214046823,0,0
184.35083612040137,1,0
185.60903010033445,1,0
186.8672240802676,0,0
188.12541806020067,3,0
189.3836120401338,0,0
190.6418060200669,1,0
191.9,3,0
193.15819397993312,2,0
194.4163879598662,2,0
195.67458193979934,2,0
196.93277591973242,2,0
198.19096989966556,0,0
199.44916387959864,2,0
200.70735785953178,1,0
201.96555183946487,0,0
203.223745819398,0,0
204.4819397993311,0,0
205.74013377926423,0,0
206.9983277591973,1,0
208.25652173913045,0,0
209.51471571906353,0,0
210.77290969899667,0,0
212.03110367892975,1,0
213.2892976588629,1,0
214.54749163879598,1,0
215.80568561872911,0,0
217.0638795986622,2,0
218.32207357859534,2,0
219.58026755852842,0,0
220.83846153846156,2,0
222.09665551839464,0,0
223.35484949832778,0,0
224.61304347826086,2,0
225.871237458194,1,0
227.12943143812709,0,0
228.38762541806022,0,0
229.6458193979933,1,0
230.90401337792645,1,0
232.16220735785953,0,0
233.42040133779267,0,0
234.67859531772575,0,0
235.9367892976589,0,0
237.19498327759197,1,0
238.4531772575251,0,0
239.7113712374582,0,0
240.96956521739133,1,0
242.22775919732442,0,0
243.48595317725756,0,0
244.74414715719064,0,0
246.00234113712375,0,0
247.26053511705686,1,0
248.51872909698994,1,0
249.77692307692308,0,0
251.03511705685617,1,0
252.2933110367893,0,0
253.5515050167224,1,0
254.80969899665553,0,0
256.0678929765886,0,0
257.32608695652175,0,0
258.58428093645483,0,0
259.84247491638797,0,0
261.10066889632105,1,0
262.3588628762542,0,0
263.61705685618733,0,0
264.8752508361204,1,0
266.1334448160535,0,0
267.39163879598664,0,0
268.6498327759198,0,0
269.90802675585286,0,0
271.16622073578594,0,0
272.4244147157191,0,0
273.68260869565216,1,0
274.94080267558525,0,0
276.1989966555184,1,0
277.4571906354515,0,0
278.7153846153846,0,0
279.9735785953177,0,0
281.23177257525083,0,0
282.48996655518397,0,0
283.74816053511705,0,0
285.00635451505013,0,0
286.2645484949833,0,0
287.5227424749164,0,0
288.7809364548495,0,0
290.0391304347826,0,0
291.2973244147157,0,0
292.55551839464886,0,0
293.81371237458194,0,0
295.071906354515,0,0
296.33010033444816,0,0
297.5882943143813,1,0
298.8464882943144,0,0
300.10468227424747,0,0
301.3628762541806,0,0
302.62107023411374,0,0
303.8792642140468,0,0
305.1374581939799,0,0
306.39565217391305,0,0
307.6538461538462,1,0
308.91204013377927,0,0
310.17023411371235,0,0
311.4284280936455,1,0
312.68662207357863,0,0
313.9448160535117,0,0
315.2030100334448,0,0
316.46120401337794,0,0
317.7193979933111,0,0
318.97759197324416,0,0
320.23578595317724,0,0
321.4939799331104,0,0
322.7521739130435,0,0
324.0103678929766,1,0
325.2685618729097,0,0
326.5267558528428,0,0
327.7849498327759,0,0
329.043143812709,0,0
330.30133779264213,0,0
331.55953177257527,0,0
332.81772575250835,1,0
334.07591973244143,0,0
335.3341137123746,0,0
336.5923076923077,0,0
337.8505016722408,0,0
339.1086956521739,0,0
340.366889632107,0,0
341.62508361204016,0,0
342.88327759197324,0,0
344.1414715719063,1,0
345.39966555183946,0,0
346.6578595317726,0,0
347.9160535117057,0,0
349.17424749163877,0,0
350.4324414715719,0,0
351.69063545150505,0,0
352.9488294314381,0,0
354.2070234113712,0,0
355.46521739130435,1,0
356.7234113712375,0,0
357.9816053511706,0,0
359.23979933110365,0,0
360.4979933110368,0,0
361.75618729096993,0,0
363.014381270903,0,0
364.2725752508361,0,0
365.53076923076924,0,0
366.7889632107024,0,0
368.04715719063546,0,0
369.30535117056854,0,0
370.5635451505017,0,0
371.8217391304348,0,0
373.0799331103679,0,0
374.338127090301,0,0
375.5963210702341,0,0
376.85451505016727,0,0
378.11270903010035,0,0
379.37090301003343,0,0
